userid,experimentid,activity_Still,activity_Tilting,activity_Unknown,activity_InVehicle,activity_OnBicycle,activity_OnFoot,app_category_nunique,app_adventure,app_tools,app_productivity,app_communication,app_social,app_libraries_&_demo,app_lifestyle,app_personalization,app_racing,app_maps_&_navigation,app_travel_&_local,app_food_&_drink,app_books_&_reference,app_medical,app_puzzle,app_entertainment,app_arcade,app_auto_&_vehicles,app_photography,app_health_&_fitness,app_education,app_shopping,app_board,app_music_&_audio,app_sports,app_beauty,app_business,app_educational,app_finance,app_news_&_magazines,app_casual,app_art_&_design,app_house_&_home,app_card,app_events,app_trivia,app_weather,app_strategy,app_word,app_video_players_&_editors,app_action,app_simulation,app_music,app_dating,app_role_playing,app_casino,app_comics,app_parenting,app_shop,app_nunique,app_entropy_basic,bluetooth_addr_nuinque,bluetooth_mean,bluetooth_min,bluetooth_max,bluetooth_std,bluetooth_var,bluetooth_entropy_basic,cellular_lte_mean,cellular_lte_min,cellular_lte_max,cellular_lte_std,cellular_lte_entropy_basic,cellular_lte_num_of_devices,location_latitude,location_longitude,location_longitude_mean,location_longitude_min,location_longitude_max,location_latitude_mean,location_latitude_min,location_latitude_max,location_altitude_mean,location_altitude_min,location_altitude_max,location_speed_mean,location_speed_min,location_speed_max,location_speed_std,location_radius_of_gyration,location_distance_sum,notification_posted,notification_removed,proximity_mean,proximity_std,proximity_min,proximity_max,screen_SCREEN_OFF,screen_SCREEN_ON,screen_episodes_count,screen_mean_seconds_per_episode,screen_min_seconds_per_episode,screen_max_seconds_per_episode,screen_std_seconds_per_episode,steps_counter,touch_count,wifi_is_connected,wifi_num_of_devices,wifi_mean_rssi,wifi_min_rssi,wifi_max_rssi,wifi_std_rssi,hour,sin_hour,cos_hour,day_period_evening,day_period_morning,day_period_night,day_period_noon,start_interval,end_interval
19,wenetIndia,599.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-79.0,-96.0,-73.0,6.611150964330697,43.70731707317071,0.0841395531910684,-107.5,-112.0,-103.0,2.467976720090587,0.1956762467702945,2.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.2335483869237284,-1.0,-0.0099999997764825,0.4207734814132092,0.0,0.0,9.0,7.0,,,,,563.08,36.92,2.0,18.451500000000003,17.029,19.874,2.0117187924757305,,,,2.0,-60.80645161290322,-90.0,-49.0,12.11263898859832,9,0.7071067811865476,-0.7071067811865475,False,True,False,False,2021-07-12 08:55:00,2021-07-12 09:05:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-79.86363636363636,-89.0,-75.0,5.045464295454868,25.456709956709883,0.0,-97.33333333333331,-109.0,-79.0,13.21385865695787,0.2442190502882155,2.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.2574999998323619,-1.0,-0.0099999997764825,0.4365489664242194,0.0,0.0,5.0,3.0,,,,,581.001,18.999,1.0,18.969,18.969,18.969,0.0,,,,2.0,-60.206896551724135,-87.0,-49.0,11.548157931165726,9,0.7071067811865476,-0.7071067811865475,False,True,False,False,2021-07-12 09:25:00,2021-07-12 09:35:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,-83.64285714285714,-106.0,-75.0,9.942969242768353,0.1781112539711337,2.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.2362857141132865,-1.0,-0.0099999997764825,0.4217825319782834,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,2.0,-67.48275862068965,-90.0,-47.0,16.749172673268355,10,0.49999999999999994,-0.8660254037844387,False,False,False,True,2021-07-12 09:55:00,2021-07-12 10:05:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,-95.0,-108.0,-83.0,10.23067283548187,0.2442190502882155,2.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.2574999998323619,-1.0,-0.0099999997764825,0.4323002135792422,2.78183817226018e-12,0.0,8.0,1.0,,,,,584.1289999999999,15.871,1.0,15.79,15.79,15.79,0.0,,,,1.0,-58.41176470588236,-65.0,-52.0,4.075928204818841,10,0.49999999999999994,-0.8660254037844387,False,False,False,True,2021-07-12 10:25:00,2021-07-12 10:35:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,-79.0,-81.0,-77.0,2.8284271247461903,0.0,1.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.2574999998323619,-1.0,-0.0099999997764825,0.4323002135792422,2.78183817226018e-12,0.0,14.0,2.0,,,,,582.168,17.831999999999997,1.0,17.785999999999998,17.785999999999998,17.785999999999998,0.0,,1.0,,2.0,-62.75,-89.0,-52.0,7.698651230522832,11,0.258819045102521,-0.9659258262890682,False,False,False,True,2021-07-12 10:55:00,2021-07-12 11:05:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,-85.66666666666667,-95.0,-81.0,8.082903768654761,0.0,1.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.2574999998323619,-1.0,-0.0099999997764825,0.4323002135792422,2.78183817226018e-12,0.0,,,,,,,,,,,,,,,,,1.0,-52.55555555555556,-57.0,-47.0,2.53483664668886,11,0.258819045102521,-0.9659258262890682,False,False,False,True,2021-07-12 11:25:00,2021-07-12 11:35:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2796854728600381,2.0,-86.5,-102.0,-79.0,6.676906550273194,44.58108108108109,0.1199481935531618,-85.0,-90.0,-77.0,5.385164807134504,0.0,1.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.2574999998323619,-1.0,-0.0099999997764825,0.4347634825967303,0.0,0.0,8.0,5.0,4.0,4.618802153517006,0.0,8.0,199.532,400.468,0.0,0.0,0.0,0.0,0.0,,453.0,,2.0,-75.63157894736842,-92.0,-49.0,14.999857751814847,12,1.2246467991473532e-16,-1.0,False,False,False,True,2021-07-12 11:55:00,2021-07-12 12:05:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2755764150520716,1.0,-82.475,-86.0,-81.0,2.171936392325448,4.717307692307683,0.0,-95.83333333333331,-108.0,-85.0,9.703951085339758,0.2764345909436749,2.0,10.5086,76.2129,76.2129,76.2129,76.2129,10.5086,10.5086,10.5086,,,,-0.1248275860093042,-1.0,-0.0099999997764825,0.3175058338082226,1.4021144839757184e-12,0.0,6.0,3.0,8.0,,8.0,8.0,192.848,407.152,0.0,0.0,0.0,0.0,0.0,,306.0,,1.0,-60.43030303030303,-73.0,-48.0,5.535433517259774,12,1.2246467991473532e-16,-1.0,False,False,False,True,2021-07-12 12:25:00,2021-07-12 12:35:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.476704725542205,1.0,-84.64285714285714,-90.0,-81.0,2.4437777496001973,5.972049689441004,0.0,-93.2,-106.0,-83.0,9.016035098028896,0.2652949955741215,2.0,10.5086,76.2129,76.21289595959597,76.2127,76.2129,10.508634343434345,10.5086,10.5103,,,,-0.1266666664694896,-1.0,-0.0099999997764825,0.3197391251540411,0.0267723076004057,0.3805836540013517,22.0,2.0,2.6666666666666665,4.618802153517007,0.0,8.0,209.747,390.253,0.0,0.0,0.0,0.0,0.0,,326.0,,2.0,-64.89789789789789,-90.0,-54.0,9.462756502631663,13,-0.2588190451025208,-0.9659258262890683,False,False,False,True,2021-07-12 12:55:00,2021-07-12 13:05:00
19,wenetIndia,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5284111266128194,3.0,-81.9494382022472,-100.0,-69.0,9.13691987309432,83.4833047673459,0.3171706292824829,-107.5,-118.0,-91.0,9.548123724935,0.2652949955741215,2.0,10.5086,76.2129,76.21300000000001,76.2129,76.2155,10.5087,10.5086,10.5112,,,,-0.1318461536501461,-1.0,-0.0099999997764825,0.3258675019046526,0.0779699321910852,0.8108872947866375,38.0,10.0,5.333333333333333,4.618802153517007,0.0,8.0,138.166,461.834,0.0,0.0,0.0,0.0,0.0,,205.0,,3.0,-67.99032258064516,-89.0,-40.0,15.534799745469885,13,-0.2588190451025208,-0.9659258262890683,False,False,False,True,2021-07-12 13:25:00,2021-07-12 13:35:00
19,wenetIndia,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-84.56303972366149,-101.0,-72.0,6.124494054392973,37.50942742229488,0.4119617342519542,-102.23076923076924,-119.0,-81.0,12.603926941988137,0.1864526193784954,2.0,10.5086,76.2129,76.21298927038627,76.2129,76.2155,10.508689270386265,10.5086,10.5112,,,,-0.1374678109640598,-1.0,-0.0099999997764825,0.3322935320859687,0.0738262538526254,0.8108872947866375,4.0,1.0,4.0,4.216370213557839,0.0,8.0,,,,,,,,,17.0,,3.0,-69.6441717791411,-93.0,-49.0,14.45616439461891,14,-0.4999999999999997,-0.8660254037844388,False,False,False,False,2021-07-12 13:55:00,2021-07-12 14:05:00
